# z  nz0_0 nz1_0 nz2_0 nz3_0 nz4_0
7.688442211055276365e-01 9.733983744526014876e-05 9.216168859219284748e-01 2.871431853803929624e+00 5.394882492401870122e-02 3.777213046071087893e-07
7.839195979899497013e-01 3.939065690244660341e-05 7.164258072494654739e-01 3.005875260085721923e+00 7.756397750233054444e-02 7.276198040717955485e-07
7.989949748743718771e-01 1.530597050478499564e-05 5.432793816789085461e-01 3.099650701923243101e+00 1.092493755018454638e-01 1.380065403521537134e-06
8.140703517587939420e-01 5.709965020644043325e-06 4.016399253303893357e-01 3.151721342753799782e+00 1.507812510529912553e-01 2.577304036792519289e-06
8.291457286432160068e-01 2.044824552594470603e-06 2.893150167103286652e-01 3.162622935910119448e+00 2.039592537912833514e-01 4.739273222873713791e-06
8.442211055276381826e-01 7.028755367544318755e-07 2.029599420010055888e-01 3.134114231876730106e+00 2.704680732962940759e-01 8.581196617717534324e-06
8.592964824120602474e-01 2.318752939727754987e-07 1.386000158514017200e-01 3.068832581780982061e+00 3.517108572240629227e-01 1.529975765450729942e-05
8.743718592964824232e-01 7.340773519699238411e-08 9.209991324348711095e-02 2.970013802775092859e+00 4.486281304173228013e-01 2.686167871185511893e-05
8.894472361809044880e-01 2.229982499306824133e-08 5.953142302708027550e-02 2.841305459043555803e+00 5.615216403808311885e-01 4.644144687479096715e-05
9.045226130653265528e-01 6.499760963577866380e-09 3.741873326165996716e-02 2.686671732849783112e+00 6.899062374253730479e-01 7.907064279848352226e-05
9.195979899497487287e-01 1.817591948512149124e-09 2.286477675864784925e-02 2.510363604833095508e+00 8.324133474051743642e-01 1.325792623053974740e-04
9.346733668341707935e-01 4.876045511235492458e-10 1.357913476212952927e-02 2.316914831965244836e+00 9.867660760722022362e-01 2.189281422474485090e-04
9.497487437185929693e-01 1.254824635672432112e-10 7.836245269198073918e-03 2.111123402492899537e+00 1.149838492879950325e+00 3.560485311076722493e-04
9.648241206030150341e-01 3.097532810175236957e-11 4.393273972144532032e-03 1.897987848003737987e+00 1.317801033256877030e+00 5.703159860099717539e-04
